,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
275,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,12
276,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,5
277,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,5
278,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,13
279,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1
280,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,11
281,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
282,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,10
283,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,3
284,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
285,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1
286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
287,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
288,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
