,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
291,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
292,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4
294,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
295,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,4
296,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,9
297,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,7
298,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,8
299,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,17
300,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1
301,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
302,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,7
303,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1
304,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,7
305,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,7
306,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,3
307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,35
308,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
310,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
311,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
312,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1
313,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,7
314,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1
315,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,4
316,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
