,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
355,1,1,1,0,0,0,0,1,0,0,1,1,0,5
356,1,1,0,1,0,0,1,0,0,0,0,0,0,3
357,0,0,1,0,0,1,1,1,0,0,0,1,0,6
358,0,0,1,1,1,0,1,0,0,0,0,0,0,9
359,0,1,1,1,0,0,0,1,0,0,0,0,0,15
360,0,1,0,0,0,0,0,0,0,0,1,0,1,2
361,0,0,0,0,0,1,0,0,1,1,0,1,0,3
362,0,1,0,0,0,0,0,1,0,0,1,0,1,4
363,1,1,0,0,0,0,0,0,1,0,0,0,0,21
364,0,0,1,0,0,0,0,0,1,0,0,1,0,36
365,0,0,0,0,0,1,0,0,0,1,1,0,0,4
366,1,0,0,0,0,0,0,0,1,0,1,0,0,17
367,1,0,1,1,1,0,0,1,1,0,0,0,0,1
368,0,0,0,0,0,0,1,1,0,1,0,0,0,19
369,1,1,1,0,0,0,0,1,0,0,0,0,0,7
370,0,1,0,0,0,0,1,1,1,0,0,0,0,2
371,1,0,0,1,1,0,1,1,1,0,0,1,0,1
372,0,0,1,0,1,0,1,1,1,0,0,0,0,3
373,0,0,1,1,1,1,0,1,1,1,0,0,0,1
374,1,0,1,0,0,0,0,1,1,0,1,1,0,3
375,0,0,0,0,1,0,0,1,0,0,1,0,0,15
376,0,0,1,0,0,1,0,1,0,0,1,1,0,3
377,0,0,0,0,1,0,0,1,0,1,0,1,0,4
378,0,1,0,1,0,0,0,1,0,0,0,0,0,14
379,0,1,1,0,0,0,0,0,0,0,0,0,1,3
380,0,0,0,0,1,0,0,0,0,0,0,1,1,5
381,1,0,0,0,0,0,1,0,1,1,0,0,0,5
382,0,1,1,0,1,0,0,0,1,1,0,0,0,2
383,0,1,0,1,0,0,0,1,0,0,1,1,0,8
384,0,0,1,0,0,0,0,0,1,1,1,1,0,14
385,1,1,1,0,0,0,1,0,0,1,1,0,0,1
386,1,1,1,1,0,0,0,0,0,0,1,0,0,8
387,0,0,0,0,0,0,0,0,1,1,0,0,1,26
388,1,0,1,1,0,0,0,0,1,1,1,0,0,2
389,0,0,0,1,0,0,0,0,0,0,0,1,1,2
390,0,1,0,0,0,0,0,1,1,1,0,0,0,16
