,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
280,1,0,0,0,0,1,0,0,1,1,0,1,1,1
281,1,0,0,0,0,0,1,0,1,1,1,1,1,3
282,0,1,1,0,0,1,0,0,1,0,1,1,1,2
283,0,1,0,0,0,0,0,0,1,1,1,1,0,6
284,1,0,1,0,0,1,0,0,1,0,0,1,1,3
285,0,1,0,1,0,0,0,1,1,1,1,0,1,2
286,1,0,1,0,1,0,0,0,0,1,1,0,1,2
287,0,0,0,0,1,0,1,1,1,1,1,1,1,1
288,0,0,1,0,0,0,1,1,1,1,1,0,1,13
289,0,1,0,0,0,0,0,0,1,0,0,1,1,5
290,0,1,0,0,0,1,0,0,0,0,1,1,1,5
291,0,0,1,1,0,0,1,1,1,1,0,0,1,3
292,1,0,0,0,1,0,0,0,1,1,1,0,1,3
293,1,0,0,1,1,0,0,0,0,0,1,1,0,2
294,0,0,0,1,0,0,1,1,1,1,1,0,1,6
295,0,1,0,1,0,0,0,0,1,1,1,1,0,10
296,0,0,0,1,1,0,0,1,1,1,1,1,0,4
297,1,0,1,1,0,0,0,1,0,1,1,0,1,1
298,1,0,1,0,1,1,1,0,1,0,1,1,1,1
299,0,1,1,1,0,0,0,1,1,1,0,1,1,3
300,0,1,0,0,0,1,0,0,0,0,0,1,1,2
301,0,0,0,1,0,1,0,1,1,1,1,1,0,7
302,1,0,0,0,1,1,0,0,1,0,1,1,0,1
303,0,1,0,0,0,0,0,0,1,1,0,0,1,1
304,0,1,1,1,0,0,0,1,1,1,1,0,1,1
305,1,0,0,0,0,0,1,0,0,1,1,1,1,8
306,0,1,0,0,0,1,1,0,1,1,0,0,1,1
307,0,0,0,1,1,0,0,1,1,1,1,1,1,6
308,1,0,0,1,1,0,0,0,1,1,1,1,0,5
309,0,1,1,1,0,1,1,1,1,1,0,1,0,2
310,0,1,0,0,0,1,0,0,0,1,0,1,1,1
311,0,0,0,0,1,0,0,0,1,1,1,0,1,5
312,1,1,0,0,0,1,0,0,0,1,1,1,1,8
313,0,0,0,1,0,0,0,1,1,1,0,1,0,3
314,0,0,0,1,0,0,0,0,1,0,1,1,1,11
315,1,0,0,1,0,0,0,0,1,1,1,1,0,8
316,0,1,1,1,0,0,0,0,1,1,0,1,0,3
317,0,1,1,1,0,1,0,0,1,1,1,0,1,1
318,1,1,1,1,0,0,1,1,1,0,1,0,1,4
319,0,0,1,1,1,0,0,0,1,1,1,1,0,1
320,0,0,1,1,1,0,0,1,1,1,1,0,0,1
321,0,1,0,0,1,0,1,0,1,1,1,1,1,1
322,0,0,1,0,0,1,0,0,1,1,1,1,1,7
323,0,1,1,1,0,0,0,1,1,1,1,0,0,2
324,0,0,0,1,0,0,0,1,0,1,1,1,1,8
325,0,1,0,0,0,1,0,0,1,1,1,0,1,3
326,1,1,1,1,1,1,0,0,1,0,1,0,1,2
327,0,1,1,1,0,0,1,0,1,1,0,1,0,1
328,1,1,1,0,0,1,1,0,1,0,0,1,1,1
329,1,1,0,0,0,0,0,0,1,0,1,0,1,6
330,1,1,0,1,0,0,0,1,1,0,1,1,1,5
331,0,0,0,0,0,1,0,0,0,0,1,1,1,2
332,1,1,1,1,0,0,0,0,0,1,1,0,1,1
333,0,1,1,0,1,1,1,0,1,1,0,1,1,6
334,0,0,1,0,0,0,0,0,1,0,1,0,0,1
335,0,0,1,0,0,0,1,0,1,1,0,0,1,1
336,0,0,0,0,1,0,0,1,1,1,1,1,1,8
337,0,0,0,0,0,0,1,0,0,1,1,1,1,8
338,0,1,1,1,0,0,0,0,1,1,1,1,0,2
339,0,1,0,0,0,0,0,0,1,1,0,1,0,3
340,0,0,1,0,0,0,0,1,1,1,1,1,1,2
341,0,0,1,0,0,0,0,0,0,1,1,1,1,6
342,0,0,1,1,0,0,1,1,0,1,1,1,1,2
343,1,0,0,0,0,1,0,0,0,1,1,1,1,5
344,1,1,1,1,1,1,1,1,1,0,1,0,1,2
345,0,1,0,1,0,0,0,0,1,1,0,1,1,4
346,0,1,1,0,0,0,0,0,0,0,0,1,1,1
347,1,0,0,0,1,1,0,0,1,0,0,1,1,3
348,0,0,1,0,0,0,1,0,1,1,0,1,1,1
349,1,0,1,0,1,1,0,0,1,0,1,1,1,1
350,1,0,0,1,1,0,0,0,0,1,1,1,1,17
351,1,0,0,0,0,0,0,0,1,0,0,1,1,2
352,0,1,0,0,0,0,0,1,1,0,1,1,1,1
353,1,0,0,1,0,0,0,0,1,0,1,1,1,3
354,1,1,0,0,0,0,0,0,1,1,1,1,0,5
355,0,1,1,1,0,0,0,0,1,1,1,0,1,3
356,1,0,1,1,1,1,0,0,0,1,1,0,1,1
357,0,1,0,0,0,0,0,0,1,0,1,1,0,2
358,0,0,0,1,0,0,1,1,1,1,0,0,1,2
359,1,1,0,0,0,1,1,0,1,0,1,1,1,1
360,0,1,0,0,0,0,1,1,1,1,0,0,0,1
361,0,1,1,0,0,1,1,0,0,1,1,1,1,1
362,1,0,0,1,0,0,1,1,1,1,1,0,1,1
363,0,0,1,0,0,0,1,0,1,1,1,1,0,1
364,0,0,0,0,0,0,0,0,1,0,0,1,1,2
365,1,1,1,0,0,1,1,0,0,1,0,1,1,2
366,0,1,0,1,0,0,0,0,0,0,1,1,0,1
367,1,1,1,0,0,1,0,0,1,0,0,1,0,1
368,1,1,1,0,0,0,0,0,1,1,1,1,1,1
369,1,1,0,0,0,0,0,0,1,1,0,1,1,6
370,0,0,1,0,0,0,1,1,1,1,0,0,1,1
371,1,1,1,0,0,0,0,0,1,0,1,1,1,3
372,1,0,0,1,1,0,0,1,1,1,1,0,1,2
373,1,0,0,0,1,0,0,0,1,1,1,1,0,5
374,1,1,0,0,1,1,0,0,1,1,1,1,0,2
375,1,1,0,1,0,0,0,0,1,0,0,1,1,1
376,1,1,0,0,0,0,0,0,1,1,1,0,1,1
377,0,0,0,1,0,0,0,1,1,1,0,1,1,1
378,0,0,1,1,0,0,0,1,1,1,0,0,1,4
379,0,1,1,1,0,1,1,0,1,1,0,1,1,7
380,0,1,1,0,0,1,0,0,1,1,0,1,0,3
381,0,1,0,1,0,1,1,1,1,1,0,0,1,4
382,1,1,0,0,0,1,0,0,0,0,1,1,1,3
383,0,0,0,1,1,1,0,0,1,1,1,1,1,1
384,0,1,0,1,1,1,0,1,1,0,1,1,0,1
385,0,1,1,1,0,0,1,1,1,1,1,0,1,3
386,0,1,1,1,0,1,1,1,0,1,0,1,1,1
387,1,1,1,0,1,1,0,0,1,1,0,1,1,4
388,0,0,1,1,1,0,0,1,1,1,1,1,1,1
389,0,1,0,1,0,0,0,1,1,1,0,1,1,2
390,0,0,1,0,0,1,0,0,1,1,1,1,0,2
391,1,0,0,1,0,0,0,1,0,1,1,1,1,3
392,1,0,0,1,1,1,1,0,1,0,1,1,0,1
393,0,1,0,0,1,0,0,0,1,0,1,1,1,6
394,1,1,1,1,0,0,0,0,1,0,1,0,1,1
395,1,1,1,0,0,1,1,0,1,1,0,1,0,1
396,0,1,0,1,0,0,1,0,1,1,0,0,1,2
397,0,0,1,0,0,0,0,0,0,1,1,0,1,2
398,1,1,0,1,0,1,0,0,1,1,0,1,0,1
399,0,1,1,1,0,1,0,0,1,1,0,1,1,5
400,1,1,0,1,0,1,0,0,1,0,0,1,1,1
401,0,0,1,0,0,0,1,1,1,1,1,0,0,4
402,1,1,1,0,0,0,1,0,1,0,1,1,1,1
403,0,1,0,0,0,1,1,0,1,0,1,1,1,1
404,0,0,0,0,0,0,1,0,1,1,1,0,1,1
405,0,0,1,0,1,0,0,0,1,1,1,0,1,2
406,1,1,1,0,0,0,0,0,0,0,1,0,1,1
407,0,0,0,0,0,0,1,1,1,1,1,1,0,1
408,1,1,1,1,1,1,0,0,1,0,1,1,0,1
409,0,0,1,1,0,1,0,0,1,0,1,0,1,1
410,1,0,0,0,1,1,0,0,1,1,0,1,1,2
411,0,1,0,1,0,1,1,1,1,0,1,0,1,1
412,0,1,0,1,1,1,0,0,1,1,1,1,0,2
413,0,0,0,1,1,0,0,1,0,1,1,1,0,2
414,0,1,0,0,0,0,0,0,0,1,1,0,1,1
415,1,0,0,0,1,0,0,0,1,0,0,1,1,1
416,1,0,0,1,1,1,0,1,0,1,1,1,0,1
417,1,0,0,0,1,1,0,1,1,1,1,1,1,1
418,1,1,0,1,1,0,0,0,1,1,1,1,0,1
419,0,1,1,0,1,0,0,0,1,1,1,1,1,1
420,0,1,1,0,0,1,1,0,1,0,0,1,0,1
421,0,0,1,1,1,0,1,1,1,1,1,0,1,2
422,0,0,0,0,1,0,1,0,0,1,1,1,1,1
423,0,1,0,0,0,0,0,0,1,0,1,0,1,1
424,0,1,1,1,0,0,0,1,1,1,0,1,0,1
425,0,1,1,0,0,1,0,0,0,1,0,1,0,1
426,1,1,1,0,0,1,0,0,1,1,1,0,1,1
427,1,0,0,0,0,0,1,0,1,0,1,1,1,3
428,0,0,1,1,0,0,0,0,1,1,0,1,0,1
429,1,0,0,0,1,0,0,0,0,1,0,1,1,3
430,1,0,0,1,0,0,1,0,1,1,1,1,0,1
431,0,0,1,1,0,0,1,0,1,1,1,1,1,1
432,1,0,1,1,0,0,0,0,1,1,1,1,1,1
433,1,0,0,0,0,0,0,1,1,1,1,1,0,1
434,0,1,1,1,0,1,0,0,1,0,0,1,0,1
435,0,0,0,0,0,0,1,1,1,1,1,0,1,1
436,1,0,0,0,1,0,0,0,1,0,1,0,1,1
437,0,0,0,0,1,0,0,0,0,1,1,0,1,1
438,1,1,1,1,1,1,1,0,0,1,0,1,1,1
439,1,0,0,0,0,0,0,0,1,1,1,0,1,3
440,1,1,1,0,0,0,0,0,1,1,0,1,1,1
441,1,1,1,1,1,0,0,1,1,0,1,1,0,1
442,0,0,1,1,1,0,1,0,1,1,1,0,1,2
443,1,0,0,1,1,1,0,0,1,1,1,1,1,2
444,0,0,1,0,0,1,1,0,1,0,0,1,1,2
445,1,0,0,0,0,1,0,0,1,1,1,1,0,2
446,1,1,0,1,1,1,0,1,1,0,1,1,1,3
447,1,0,0,0,1,1,1,0,1,0,0,1,1,1
448,0,1,1,1,0,0,0,0,1,1,1,0,0,1
449,0,0,0,1,0,0,0,0,1,1,0,1,0,1
450,0,1,0,1,0,1,0,0,1,1,0,0,0,1
451,0,0,0,0,0,1,1,0,1,0,1,1,1,1
452,1,0,0,0,1,0,0,0,0,0,1,1,0,1
