,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
303,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
304,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1
305,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,7
306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
307,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
308,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,16
309,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,49
310,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1
311,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,3
312,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,2
313,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,24
314,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,9
315,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1
316,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
317,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,18
318,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,8
319,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
320,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,2
321,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5
322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
323,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
324,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
325,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,14
326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
327,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2
328,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,9
329,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
330,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,7
331,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
332,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,4
333,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,5
334,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,31
335,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,3
336,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,3
337,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,3
338,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2
339,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
340,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
341,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,7
342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
343,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,6
344,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
345,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,5
346,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,19
347,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,15
348,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,4
349,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4
350,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4
351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11
352,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3
353,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2
