,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
410,0,0,0,0,1,1,1,0,1,1,1,0,1,1
411,0,1,1,0,0,0,1,1,0,1,0,1,1,1
412,0,1,1,0,1,0,1,1,0,1,1,0,1,2
413,0,0,1,0,0,1,1,0,1,1,1,1,1,1
414,0,1,1,1,0,0,1,1,0,1,0,1,1,1
415,1,0,1,1,0,0,1,1,0,0,0,1,1,1
416,0,1,1,1,1,0,1,1,0,1,1,1,1,1
417,1,0,1,0,0,0,1,1,1,0,0,1,1,1
418,0,0,0,1,1,0,1,0,1,1,1,1,1,1
419,1,0,0,0,0,1,1,0,1,1,1,1,1,1
420,1,1,0,0,0,1,1,1,1,1,1,1,1,1
421,0,1,1,1,0,0,1,1,0,1,1,1,0,1
422,1,0,0,1,0,0,1,0,0,1,1,1,1,1
423,1,0,0,0,0,1,1,0,1,1,1,0,0,1
424,0,0,1,0,0,0,1,0,1,0,1,1,1,2
425,1,1,0,0,0,0,1,1,0,1,1,1,0,2
426,1,0,1,1,0,0,0,1,1,1,1,1,1,1
427,0,0,0,0,1,0,1,1,1,0,1,0,1,1
428,0,0,0,0,0,1,1,1,1,0,1,0,1,1
429,1,0,0,1,0,0,0,1,0,1,1,1,1,1
430,1,0,0,0,0,0,0,1,0,1,1,1,0,1
431,0,0,0,0,1,1,1,1,0,1,1,1,1,1
432,0,1,0,0,0,0,0,1,0,1,1,1,1,2
433,0,0,0,1,0,1,1,0,1,1,1,1,1,1
434,0,0,0,1,0,1,1,1,1,1,0,0,1,1
435,1,1,1,1,0,0,1,1,0,1,1,1,1,1
436,0,0,0,1,0,1,1,1,1,1,1,0,1,1
437,0,1,0,1,0,0,1,1,0,1,1,0,1,1
438,0,0,1,1,1,0,1,1,1,0,0,0,1,1
439,1,1,0,0,0,0,1,1,1,0,1,1,1,1
440,0,0,0,1,0,1,1,1,1,0,1,0,0,1
441,1,0,1,1,1,0,1,1,1,0,1,0,1,1
442,0,0,0,1,0,0,0,1,1,1,1,1,0,2
443,0,1,1,0,0,0,1,0,1,1,1,1,1,1
444,1,1,0,0,1,0,0,1,1,1,1,1,1,1
445,0,0,0,1,1,0,0,1,0,0,1,1,1,1
446,1,0,0,0,1,0,1,1,1,1,1,1,0,1
447,0,0,0,1,0,1,0,1,1,1,1,1,1,1
448,0,1,1,1,0,1,1,1,0,1,1,1,1,1
449,0,0,0,1,0,1,1,0,1,0,1,1,0,1
450,0,0,0,0,0,1,0,0,1,1,1,1,0,1
451,0,0,0,1,0,1,0,1,1,1,1,1,0,1
452,1,0,1,0,0,0,1,1,1,0,1,1,0,1
453,0,1,1,0,0,0,1,0,1,1,1,1,0,1
